,Substructure,Frequency0,Frequency1,Frequency2
345,OCCOC(OC1C(CO)OC(O)C(O)C1O)C(O)CO,0.0,1.0,0.0
346,OCC1OC(O)C(O)C(O)C1OC1OCC(O)C(O)C1O,0.0,1.0,0.0
347,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,0.0,1.0,0.0
348,S,0.0,0.0,4.0
349,NC=O,0.0,0.0,4.0
350,CS,0.0,0.0,4.0
351,CNC=O,0.0,0.0,4.0
352,CC(N)=O,0.0,0.0,4.0
353,CN,0.0,0.0,3.0
354,CCC,0.0,0.0,4.0
355,CCS,0.0,0.0,3.0
356,CSC,0.0,0.0,3.0
357,CCNC=O,0.0,0.0,4.0
358,O=CNCS,0.0,0.0,3.0
359,O=C1CCN1,0.0,0.0,3.0
360,CN(C)C=O,0.0,0.0,3.0
361,CNC(C)=O,0.0,0.0,4.0
362,NC(=O)CNC=O,0.0,0.0,3.0
363,NCC(N)=O,0.0,0.0,3.0
364,cCC(N)=O,0.0,0.0,3.0
365,cCN,0.0,0.0,2.0
366,O=CNCC(=O)O,0.0,0.0,3.0
367,CC(C)S,0.0,0.0,2.0
368,CC(C)C,0.0,0.0,3.0
369,CCSC,0.0,0.0,3.0
370,CCCC(=O)O,0.0,0.0,2.0
371,CCCNC=O,0.0,0.0,3.0
372,O=C(O)CCS,0.0,0.0,2.0
373,O=CNCCS,0.0,0.0,3.0
374,CSCNC=O,0.0,0.0,3.0
375,CC(NC=O)C(=O)O,0.0,0.0,2.0
376,CCN(C)C=O,0.0,0.0,2.0
377,CCNC(C)=O,0.0,0.0,4.0
378,O=C1CC(S)N1,0.0,0.0,3.0
379,CN(C=O)CS,0.0,0.0,3.0
380,CN1CCC1=O,0.0,0.0,3.0
381,O=CNC1CNC1=O,0.0,0.0,3.0
382,CN(C=O)CC(=O)O,0.0,0.0,2.0
383,CC(=O)NCC(=O)O,0.0,0.0,3.0
384,CNC(=O)CNC=O,0.0,0.0,3.0
385,CC(=O)NCC(N)=O,0.0,0.0,3.0
386,CNC(=O)CN,0.0,0.0,3.0
387,cCC(=O)NC,0.0,0.0,3.0
388,cC(N)C(N)=O,0.0,0.0,2.0
389,ccCC(N)=O,0.0,0.0,3.0
390,ccCN,0.0,0.0,2.0
391,CC(C)(C)S,0.0,0.0,2.0
392,CSC(C)C,0.0,0.0,2.0
393,CC(C)CC(=O)O,0.0,0.0,2.0
394,CC(C)CNC=O,0.0,0.0,2.0
395,CC(S)CC(=O)O,0.0,0.0,2.0
396,CC(S)CNC=O,0.0,0.0,2.0
397,CCSCC,0.0,0.0,3.0
398,CCSCNC=O,0.0,0.0,3.0
399,CCC(NC=O)C(=O)O,0.0,0.0,2.0
400,CCCN(C)C=O,0.0,0.0,2.0
401,CCCNC(C)=O,0.0,0.0,3.0
402,O=CN1CCSC1,0.0,0.0,2.0
403,CSCCC(=O)O,0.0,0.0,2.0
404,O=CNC(CS)C(=O)O,0.0,0.0,2.0
405,CC(=O)NCCS,0.0,0.0,3.0
406,CSC1CC(=O)N1,0.0,0.0,3.0
407,CSCCNC=O,0.0,0.0,3.0
408,CC(C(=O)O)N(C)C=O,0.0,0.0,2.0
409,CC(=O)NC(C)C(=O)O,0.0,0.0,2.0
410,CCN1CCC1=O,0.0,0.0,2.0
411,CCNC(=O)CNC=O,0.0,0.0,2.0
412,CN1C(=O)CC1S,0.0,0.0,3.0
413,O=CNC1C(=O)NC1S,0.0,0.0,3.0
414,O=CN(CS)CC(=O)O,0.0,0.0,2.0
415,O=C(O)CN1CCC1=O,0.0,0.0,3.0
416,CN1CC(NC=O)C1=O,0.0,0.0,3.0
417,CC(=O)NC1CNC1=O,0.0,0.0,3.0
418,CCNC(=O)CN,0.0,0.0,3.0
419,cCC(=O)NCC,0.0,0.0,3.0
420,O=CNCC(=O)NCC(=O)O,0.0,0.0,3.0
421,CNC(=O)CNC(C)=O,0.0,0.0,3.0
422,NCC(=O)NCC(N)=O,0.0,0.0,2.0
423,cCC(=O)NCC(N)=O,0.0,0.0,3.0
424,cC(N)C(=O)NC,0.0,0.0,2.0
425,ccCC(=O)NC,0.0,0.0,3.0
426,ccC(N)C(N)=O,0.0,0.0,2.0
427,cc(c)CC(N)=O,0.0,0.0,3.0
428,cccCC(N)=O,0.0,0.0,3.0
429,cc(c)CN,0.0,0.0,2.0
430,cccCN,0.0,0.0,2.0
431,CccccO,0.0,0.0,1.0
432,CSC(C)(C)C,0.0,0.0,2.0
