Substructure,Frequency1,OccurrenceList1
CC(=O)NCCSCCC(=O)O,2,"1,0,1,0"
CC(=O)NCC(=O)NCCS,2,"1,0,1,0"
O=CNCC(=O)NC(CS)C(=O)O,2,"1,0,1,0"
CSC1NC(=O)C1NC(C)=O,3,"1,1,1,0"
CSC(N)CNC(=O)CN,2,"1,1,0,0"
cCC(=O)NCC(N)SC,3,"1,1,1,0"
CSCC(C=O)NC(=O)CN,2,"1,1,0,0"
cCC(=O)NC(C=O)CSC,3,"1,1,1,0"
cC(N)C(=O)NCCSC,2,"1,1,0,0"
ccCC(=O)NCCSC,3,"1,1,1,0"
CCN1CC(NC(C)=O)C1=O,2,"1,0,1,0"
CC(C(=O)O)N1CC(NC=O)C1=O,2,"1,0,1,0"
CCNC(=O)CNC(=O)CN,1,"1,0,0,0"
cCC(=O)NCC(=O)NCC,2,"1,0,1,0"
CC(=O)NCC(=O)NC(C)C(=O)O,2,"1,0,1,0"
CCNCCNC(=O)CN,1,"1,0,0,0"
cCC(=O)NCCNCC,2,"1,0,1,0"
CC(=O)NCCNC(C)C(=O)O,2,"1,0,1,0"
NCC(=O)NC1C(=O)NC1S,2,"1,1,0,0"
cCC(=O)NC1C(=O)NC1S,3,"1,1,1,0"
CC(=O)NC1C(=O)N(C)C1S,2,"1,0,1,0"
O=CNC1C(=O)N(CC(=O)O)C1S,3,"1,1,1,0"
cC(N)C(=O)NCC(N)S,2,"1,1,0,0"
CNC(S)CNC(=O)CN,2,"1,1,0,0"
ccCC(=O)NCC(N)S,3,"1,1,1,0"
cCC(=O)NCC(S)NC,3,"1,1,1,0"
CC(=O)NCC(S)NCC(=O)O,3,"1,1,1,0"
cC(N)C(=O)NC(C=O)CS,2,"1,1,0,0"
ccCC(=O)NC(C=O)CS,3,"1,1,1,0"
ccC(N)C(=O)NCCS,2,"1,1,0,0"
cc(c)CC(=O)NCCS,3,"1,1,1,0"
cccCC(=O)NCCS,3,"1,1,1,0"
cC(N)C(=O)NC1CNC1=O,2,"1,1,0,0"
CN1CC(NC(=O)CN)C1=O,2,"1,1,0,0"
ccCC(=O)NC1CNC1=O,3,"1,1,1,0"
cCC(=O)NC1CN(C)C1=O,3,"1,1,1,0"
CC(=O)NC1CN(CC(=O)O)C1=O,3,"1,1,1,0"
ccC(N)C(=O)NCCN,2,"1,1,0,0"
cC(N)C(=O)NCCNC,1,"1,0,0,0"
NCC(=O)NCCNCC(=O)O,2,"1,1,0,0"
cc(c)CC(=O)NCCN,3,"1,1,1,0"
cccCC(=O)NCCN,3,"1,1,1,0"
ccCC(=O)NCCNC,2,"1,0,1,0"
cCC(=O)NCCNCC(=O)O,3,"1,1,1,0"
ccC(N)C(=O)NC(C)C=O,2,"1,1,0,0"
cc(c)CC(=O)NC(C)C=O,3,"1,1,1,0"
cccCC(=O)NC(C)C=O,3,"1,1,1,0"
cc(c)C(N)C(=O)NCC,2,"1,1,0,0"
cccC(N)C(=O)NCC,2,"1,1,0,0"
ccc(c)CC(=O)NCC,3,"1,1,1,0"
CCNC(=O)CccccO,1,"1,0,0,0"
cc(c)C(N)C(=O)NCC=O,2,"1,1,0,0"
cccC(N)C(=O)NCC=O,2,"1,1,0,0"
ccC(N)C(=O)NCC(N)=O,2,"1,1,0,0"
cC(N)C(=O)NCC(=O)NC,1,"1,0,0,0"
NCC(=O)NCC(=O)NCC(=O)O,2,"1,1,0,0"
ccc(c)CC(=O)NCC=O,3,"1,1,1,0"
cc(c)CC(=O)NCC(N)=O,3,"1,1,1,0"
O=CCNC(=O)CccccO,1,"1,0,0,0"
cccCC(=O)NCC(N)=O,3,"1,1,1,0"
ccCC(=O)NCC(=O)NC,2,"1,0,1,0"
cCC(=O)NCC(=O)NCC(=O)O,3,"1,1,1,0"
ccc(c)C(N)C(=O)NC,2,"1,1,0,0"
CNC(=O)C(N)ccccO,1,"1,0,0,0"
cc(cccO)CC(=O)NC,1,"1,0,0,0"
ccc(cc)CC(=O)NC,3,"1,1,1,0"
cc(O)cccCC(=O)NC,1,"1,0,0,0"
cc(cccO)C(N)C(N)=O,1,"1,0,0,0"
ccc(cc)C(N)C(N)=O,2,"1,1,0,0"
cc(O)cccC(N)C(N)=O,1,"1,0,0,0"
NC(=O)Cc1ccc(O)cc1,1,"1,0,0,0"
NC(C=O)c1ccc(O)cc1,1,"1,0,0,0"
CC1(C)CN2C(=O)C(N)C2S1,2,"1,0,1,0"
CC1(C)CNC(CNC=O)S1,2,"1,0,1,0"
CC1(C)SC(CN)NC1C(=O)O,2,"1,0,1,0"
CC1(C)SC2CC(=O)N2C1C(=O)O,2,"1,0,1,0"
CC(C)(C)SCC(C=O)NC=O,2,"1,0,1,0"
